"title","stars","text"
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","A very good place to visit with friends. The service of the staff is very mind-blowing. A place filled with good vibes and memories."
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","3","To a significant extent the restaurant is like a headless chicken. Chaos all over.

We went and stayed seated, there were about 10 servers running around and no one bothered to even give the menu until I asked for it. After a while the Appetizers came with the pizza, and by the time the kids finished the Appetizers and got the Pizza it was cold. Also noticed few servers arguing about an issue for a while ... went to the front counter to pay the bill and utter chaos ... 3 people in the counters but no one seems to have proper instructions on what or how.

Seems like the same folks are super busy with take away and delivery orders and happily neglecting dine-in customers."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5","Excellent pizzas & service,"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Tastiest among all pizza huts"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","1","Being to several outlets but this is the worst ever we had. Take union place staff to maharagama branch and show them how they treat guest. Learn from them People with with big headed never going back there ever again."
"Pizza Hut - Union Place","4","I recommended for this place. Nice place. Very tasty pizza 🍕 staff very friendly"
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5","Pizza Hut Union Place is the OG of Pizza in Sri Lanka. Have had many happy memories here. Pizza is still good."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Nice Place"
"Pizza Hut - Union Place","5",
